"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU580","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae","Natantispora","Natantispora unipolaris"
"OTU581","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU582","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Burgoa","Burgoa anomala",NA
"OTU584","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU585","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",NA,NA
"OTU586","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA
"OTU587","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU588","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU589","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium strumarium"
"OTU590","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"OTU591","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum",NA
"OTU592","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU593","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"OTU594","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus neoniveus"
"OTU595","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU596","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA
"OTU597","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU598","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU599","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU600","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","Schizothecium carpinicola"
"OTU601","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA
"OTU602","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU603","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae",NA,NA
"OTU604","Viridiplantae","Anthophyta","Eudicotyledonae","Fabales","Fabaceae","Mucuna","Mucuna pruriens"
"OTU605","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU606","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU608","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"OTU609","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU610","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU611","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA
"OTU612","Fungi","Basidiomycota","Tremellomycetes",NA,NA,NA,NA
"OTU613","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Corynascella","Corynascella humicola"
"OTU614","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU615","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"OTU616","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU617","Fungi","Glomeromycota","Glomeromycetes","Diversisporales",NA,NA,NA
"OTU618","Fungi","Basidiomycota","Agaricomycetes","Thelephorales",NA,NA,NA
"OTU619","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae",NA,NA
"OTU620","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Basidioascus","Basidioascus persicus"
"OTU621","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Ruhlandiella",NA
"OTU622","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU623","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU624","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"OTU625","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU626","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU627","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU628","Fungi","Basidiobolomycota",NA,NA,NA,NA,NA
"OTU629","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Acremonium",NA,NA
"OTU630","Fungi","Ascomycota","Dothideomycetes","Eremomycetaceae",NA,NA,NA
"OTU631","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Physodermataceae","Paraphysoderma","Paraphysoderma sedebokerense"
"OTU632","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Minimedusa","Minimedusa polyspora",NA
"OTU633","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"OTU634","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces rugulosus"
"OTU635","Fungi",NA,NA,NA,NA,NA,NA
"OTU636","Fungi",NA,NA,NA,NA,NA,NA
"OTU637","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU638","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU639","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium",NA
"OTU640","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucocoprinus","Leucocoprinus birnbaumii"
"OTU641","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU642","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus etunicatum"
"OTU643","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"OTU644","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU645","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA
"OTU646","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU647","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU648","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","Thelonectria olida"
"OTU649","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora","Nigrospora oryzae"
"OTU650","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Cunninghamella","Cunninghamella binariae"
"OTU651","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU652","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU653","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus cucumeris"
"OTU654","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU655","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU656","Viridiplantae","Anthophyta","Eudicotyledonae","Cucurbitales","Cucurbitaceae","Cucumis","Cucumis leiospermus"
"OTU657","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",NA,NA
"OTU658","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophaeosphaeria","Setophaeosphaeria badalingensis"
"OTU659","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU661","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium",NA
"OTU662","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU663","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"OTU664","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU665","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Coniolariella","Coniolariella limonispora"
"OTU666","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU667","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU668","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU669","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe",NA
"OTU670","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Haptocillium","Haptocillium sinense"
"OTU671","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus brunneoviolaceus"
"OTU672","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae",NA,NA
"OTU673","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU674","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU675","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae",NA,NA
"OTU676","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU677","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor fragilis"
"OTU678","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU679","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU680","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales",NA,NA,NA
"OTU681","Fungi",NA,NA,NA,NA,NA,NA
"OTU682","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus longistriatus"
"OTU683","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales",NA,NA,NA
"OTU684","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",NA,NA
"OTU685","Fungi",NA,NA,NA,NA,NA,NA
"OTU686","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA
"OTU687","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"OTU688","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Acremonium","Acremonium rutilum",NA
"OTU689","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU690","Stramenopila","Oomycota","Oomycetes","Peronosporales",NA,NA,NA
"OTU691","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU692","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU693","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU694","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU695","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",NA
"OTU696","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales",NA,NA,NA
"OTU697","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU698","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU699","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU700","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Haptocillium",NA
"OTU702","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina"
"OTU703","Fungi","Ascomycota","Sordariomycetes","Microascales","Sphaeronaemella","Sphaeronaemella fimicola",NA
"OTU704","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",NA
"OTU705","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma",NA
"OTU706","Fungi",NA,NA,NA,NA,NA,NA
"OTU707","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU708","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU709","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA
"OTU710","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU711","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina"
"OTU712","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella wolfii"
"OTU713","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces allahabadensis"
"OTU714","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus claroideum"
"OTU715","Fungi",NA,NA,NA,NA,NA,NA
"OTU716","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU717","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU718","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Operculomyces","Operculomyces laminatus",NA
"OTU719","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Vermispora","Vermispora fusarina",NA
"OTU720","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU721","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"OTU722","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Lasiobolidium",NA
"OTU723","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU724","Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales",NA,NA,NA
"OTU725","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA
"OTU726","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",NA,NA
"OTU727","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU728","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium magnum"
"OTU729","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU730","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"OTU731","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Panaeolina","Panaeolina foenisecii",NA
"OTU732","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA
"OTU733","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hyponectriaceae","Monographella",NA
"OTU734","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum",NA
"OTU735","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU736","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU737","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Hydropisphaera","Hydropisphaera erubescens"
"OTU738","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Panaeolus","Panaeolus papilionaceus"
"OTU739","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,NA,NA
"OTU740","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU741","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Tilachlidiaceae","Tilachlidium","Tilachlidium brachiatum"
"OTU742","Fungi","Basidiomycota","Tritirachiomycetes","Tritirachiales",NA,NA,NA
"OTU743","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma atrogelatinosum"
"OTU744","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU745","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU746","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus",NA
"OTU747","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU748","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae",NA,NA
"OTU749","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU750","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU751","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU752","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU754","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU755","Viridiplantae","Anthophyta","Eudicotyledonae","Gentianales",NA,NA,NA
"OTU756","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU757","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron cereale"
"OTU758","Fungi","Basidiomycota","Agaricomycetes","Boletales",NA,NA,NA
"OTU759","Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales",NA,NA,NA
"OTU760","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae",NA,NA
"OTU761","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU762","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula babjevae"
"OTU763","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU764","Fungi","Ascomycota","Sordariomycetes","Xylariales",NA,NA,NA
"OTU765","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium","Paraconiothyrium fuckelii"
"OTU766","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU767","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU768","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA
"OTU769","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria","Nectria pertusoides"
"OTU770","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU771","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU772","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA
"OTU773","Fungi","Ascomycota","Eurotiomycetes",NA,NA,NA,NA
"OTU774","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU775","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU776","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta",NA
"OTU777","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"OTU778","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU779","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",NA,NA
"OTU780","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU781","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytridiaceae","Phlyctochytrium","Phlyctochytrium reinboldtiae"
"OTU783","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA
"OTU784","Fungi","Basidiomycota","Agaricomycetes","Boletales",NA,NA,NA
"OTU785","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales","Kickxellaceae","Ramicandelaber",NA
"OTU786","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU787","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"OTU788","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces",NA
"OTU789","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA
"OTU790","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Blastomyces",NA
"OTU792","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Spizellomyces acuminatus"
"OTU793","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus luteum"
"OTU794","Fungi",NA,NA,NA,NA,NA,NA
"OTU795","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA
"OTU796","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Monocillium","Monocillium mucidum"
"OTU797","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU798","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU799","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae",NA,NA
"OTU800","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU801","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium marquandii"
"OTU802","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU803","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU804","Fungi","Basidiomycota","Pucciniomycetes","Platygloeales",NA,NA,NA
"OTU805","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum"
"OTU807","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU808","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU809","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Veronaea","Veronaea botryosa"
"OTU810","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chaetosphaeria",NA
"OTU811","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Monodictys","Monodictys bicolorata",NA
"OTU812","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU813","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","Microascus brevicaulis"
"OTU814","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Kregervanrija",NA
"OTU815","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU816","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU817","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus",NA
"OTU818","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula kratochvilovae"
"OTU819","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"OTU820","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA
"OTU821","Fungi","Calcarisporiellomycota","Calcarisporiellomycetes","Calcarisporiellales","Calcarisporiellaceae","Calcarisporiella",NA
"OTU822","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Dominikia","Dominikia iranica"
"OTU823","Fungi","Ascomycota","Dothideomycetes","Acrospermales","Leptodiscella",NA,NA
"OTU824","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU826","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales","Kickxellaceae","Ramicandelaber",NA
"OTU827","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU828","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella superiorensis"
"OTU829","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA
"OTU830","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,NA,NA
"OTU831","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Poronia","Poronia australiensis"
"OTU832","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU833","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU834","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU835","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma taibaiensis"
"OTU836","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Moesziomyces","Moesziomyces aphidis"
"OTU837","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU838","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU839","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU840","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU841","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"OTU842","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium georgiense"
"OTU843","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU844","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","Sporobolomyces roseus"
"OTU845","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Spizellomyces dolichospermus"
"OTU846","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"OTU847","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Waitea",NA
"OTU848","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Archaeospora",NA
"OTU849","Rhodoplantae","Rhodophyta","Florideophyceae","Nemastomatales",NA,NA,NA
"OTU850","Fungi","Basidiomycota","Agaricomycetes","Thelephorales",NA,NA,NA
"OTU852","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"OTU853","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU854","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales",NA,NA,NA
"OTU855","Fungi",NA,NA,NA,NA,NA,NA
"OTU856","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU857","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU858","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus intraradices"
"OTU859","Fungi","Ascomycota","Saccharomycetes",NA,NA,NA,NA
"OTU860","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Spizellomyces dolichospermus"
"OTU861","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU862","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA
"OTU864","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Barnettozyma","Barnettozyma californica"
"OTU865","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Uncobasidium",NA
"OTU866","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU867","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU868","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","Arthrobotrys oligospora"
"OTU869","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula diobovata"
"OTU870","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU871","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU873","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae",NA,NA
"OTU874","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella parvispora"
